Cghs Rate List1500.00,,,,,,,
SNo.,Procedure Name,Speciality Classification,Tier,Facility,Ward,Cghs Code No.,Rate (?)
2164,Cost of the Implants Used in Spinal Fixation Cervical/dorsolumbar/ lumbosacral,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR51U100,Unlisted.00
2165,Cost of the Implants Used in Fusion Surgery Cervical/ Lumbar Spine upto 2 Level,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR52U100,Unlisted.00
2166,Cost of the Implants Used in Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR53U100,Unlisted.00
2167,Cost of the Implants Used in Scoliosis Surgery/ Deformity Correction of Spine,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR54U100,Unlisted.00
2168,Cost of the Implants Used in Vertebroplasty,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR55U100,Unlisted.00
2169,Cost of the Implants Used in Dynamic Hip Screw (DHS) for Fracture Neck Femur,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR56U100,Unlisted.00
2170,Cost of the Implants Used in Proximal Femur Nail (PFN) for IT fracture (Intertrochanteric Fractures),Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR57U100,Unlisted.00
2171,Cost of the Implants Used in Spinal Osteotomy,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR58U100,Unlisted.00
2172,Unspecified Implant - Orthopaedics,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR59U100,Unlisted.00
2173,Unspecified Code,All specialities,TIER I,NABH,GENERAL WARD,US001,Unlisted.00
2174,"Eye Consultation(857,873,877 cannot be booked )",Consultation,TIER I,NABH,GENERAL WARD,CN004,350.00
2175,Caldwell Luc Operation (TMH - Head & Neck) (G1S1),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH001,4500.00
2176,Evaluation under anaesthesia (TMH - Head & Neck) (G1S2),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH002,4500.00
2177,Knife/Punch/ Excision Biopsy of Tumour (TMH - Head & Neck) (G1S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH003,4500.00
2178,Laryngoscopy Direct (TMH - Head & Neck) (G1S4),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH004,4500.00
2179,Laser Fulguration for recurrent lesions (TMH - Head & Neck) (G1S5),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH005,4500.00
2180,Neck Biopsy-Excisional (TMH - Head & Neck) (G1S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH006,4500.00
2181,Node Biopsy (TMH - Head & Neck) (G1S7),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH007,4500.00
2182,Oral Cavity Fulguration (Laser) (TMH - Head & Neck) (G1S8),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH008,4500.00
2183,Orbital Mass Biopsy (TMH - Head & Neck) (G1S9),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH009,4500.00
2184,Gastroscopy (TMH - G.I. Surgery) (G1S10),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH010,4500.00
2185,Rigid Sigmoidoscopy (TMH - G.I. Surgery) (G1S11),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH011,4500.00
2186,Biopsy Needle  (TMH - Bone & Soft Tissue) (G1S12),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH012,4500.00
2187,Bronchoscopy Diagnostic (TMH - Thoracic & Paediatric) (G1S13),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH013,4500.00
2188,Esophagoscopy-Diagnostic (TMH - Thoracic & Paediatric) (G1S14),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH014,4500.00
2189,Hickman Catheter Removal (TMH - Thoracic & Paediatric) (G1S15),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH015,4500.00
2190,ICD Placement (TMH - Thoracic & Paediatric) (G1S16),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH016,4500.00
2191,Lymph Node Biopsy - Superficial (TMH - Thoracic & Paediatric) (G1S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH017,4500.00
2192,Pericardial Tap (TMH - Thoracic & Paediatric) (G1S18),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH018,4500.00
2193,Pleural Tap (TMH - Thoracic & Paediatric) (G1S19),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH019,4500.00
2194,Thorax (Trucut Biopsy) (TMH - Thoracic & Paediatric) (G1S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH020,4500.00
2195,Tracheostom?y (TMH - Thoracic & Paediatric) (G1S21),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH021,4500.00
2196,Trans Thoracic Needle Biopsy (TMH - Thoracic & Paediatric) (G1S22),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH022,4500.00
2197,Circumcision (TMH - Genitourinary / Gynaecology) (G1S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH023,4500.00
2198,Colposcopy (TMH - Genitourinary / Gynaecology) (G1S24),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH024,4500.00
2199,Dilatation & Curettage (TMH - Genitourinary / Gynaecology) (G1S25),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH025,4500.00
2200,Incision & Drainage (TMH - Genitourinary / Gynaecology) (G1S26),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH026,4500.00
2201,Testicular Biopsy (TMH - Genitourinary / Gynaecology) (G1S27),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH027,4500.00
2202,Excision Gland/Nodule (TMH - Breast) (G1S28),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH028,4500.00
2203,Alveolectomy (Upper) Per Oral (TMH - Head & Neck) (G2S1),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH029,11250.00
2204,Excision of Pinna (TMH - Head & Neck) (G2S2),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH030,11250.00
2205,Excision of Skin Malignancy - Head & Neck (TMH - Head & Neck) (G2S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH031,11250.00
2206,Eye Lid Tumor Excision (TMH - Head & Neck) (G2S4),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH032,11250.00
2207,Jaw Cyst Enucleation  (TMH - Head & Neck) (G2S5),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH033,11250.00
2208,Mandible Curettage (TMH - Head & Neck) (G2S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH034,11250.00
2209,Maxilla Curettage (TMH - Head & Neck) (G2S7),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH035,11250.00
2210,Neck Exploration (TMH - Head & Neck) (G2S8),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH036,11250.00
2211,Panendoscopy (TMH - Head & Neck) (G2S9),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH037,11250.00
2212,Submandibular gland excision (TMH - Head & Neck) (G2S10),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH038,11250.00
2213,Tongue wide excision per oral (TMH - Head & Neck) (G2S11),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH039,11250.00
2214,Tonsillectomy (TMH - Head & Neck) (G2S12),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH040,11250.00
2215,Wide Excision - Lip Lesion (TMH - Head & Neck) (G2S13),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH041,11250.00
2216,Oral cavity excision-Small lesion -Laser (TMH - Head & Neck) (G2S14),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH042,11250.00
2217,Colostomy Closure (TMH - G.I. Surgery) (G2S15),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH043,11250.00
2218,Gastrostomy (TMH - G.I. Surgery) (G2S16),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH044,11250.00
2219,Gastrotomy (TMH - G.I. Surgery) (G2S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH045,11250.00
2220,Ileostomy (TMH - G.I. Surgery) (G2S18),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH046,11250.00
2221,Closure Of Ileostomy (TMH - G.I. Surgery) (G2S19),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH047,11250.00
2222,Internal Stenting (TMH - G.I. Surgery) (G2S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH048,11250.00
2223,Exploratory Laparotomy (TMH - G.I. Surgery) (G2S21),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH049,11250.00
2224,Laparoscopy Diagnostic (TMH - G.I. Surgery) (G2S22),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH050,11250.00
2225,Amputation Of Fingers/Toes (TMH - Bone & Soft Tissue) (G2S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH051,11250.00
2226,Biopsy Open (TMH - Bone & Soft Tissue) (G2S24),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH052,11250.00
2227,Bronchoscopy +Esophagoscopy (Diagnostic) (TMH - Thoracic & Paediatric) (G2S25),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH053,11250.00
2228,Bronchoscopy - Therapeutic (TMH - Thoracic & Paediatric) (G2S26),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH054,11250.00
2229,Esophagoscopy - Therapeutic (TMH - Thoracic & Paediatric) (G2S27),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH055,11250.00
2230,Exploratory Laparotomy/Thoracotomy (Inoperable) (TMH - Thoracic & Paediatric) (G2S28),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH056,11250.00
2231,Hickman Catheterisation (TMH - Thoracic & Paediatric) (G2S29),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH057,11250.00
2232,Nonresectable Esophageal Ca. Exploration (TMH - Thoracic & Paediatric) (G2S30),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH058,11250.00
2233,Pleurodesis Talc (TMH - Thoracic & Paediatric) (G2S31),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH059,11250.00
2234,Secondary Suturing (Thoracic) (TMH - Thoracic & Paediatric) (G2S32),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH060,11250.00
2235,Thoracoscopic Pleurodesis (TMH - Thoracic & Paediatric) (G2S33),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH061,11250.00
2236,Thoracoscopy-Diagnostic (TMH - Thoracic & Paediatric) (G2S34),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH062,11250.00
2237,Thoracotomy-Inoperable (TMH - Thoracic & Paediatric) (G2S35),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH063,11250.00
2238,Chest Wall Sinus Exploration (TMH - Thoracic & Paediatric) (G2S36),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH064,11250.00
2239,Peneumonectomy Partial/Total (TMH - Thoracic & Paediatric) (G2S37),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH065,11250.00
2240,Conisation (TMH - Genitourinary / Gynaecology) (G2S38),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH066,11250.00
2241,Inoperable Laparotomy (TMH - Genitourinary / Gynaecology) (G2S39),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH067,11250.00
2242,Diagnostic Hysteroscopy (TMH - Genitourinary / Gynaecology) (G2S40),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH068,11250.00
2243,Bilateral Orchidectomy (TMH - Genitourinary / Gynaecology) (G2S41),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH069,11250.00
2244,Cystoscopy (TMH - Genitourinary / Gynaecology) (G2S42),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH070,11250.00
2245,Inguinal Node Biopsy (TMH - Genitourinary / Gynaecology) (G2S43),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH071,11250.00
2246,Meatoplasty (TMH - Genitourinary / Gynaecology) (G2S44),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH072,11250.00
2247,Prostate Biopsy (TMH - Genitourinary / Gynaecology) (G2S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH073,11250.00
2248,Urethral Dilatation (TMH - Genitourinary / Gynaecology) (G2S46),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH074,11250.00
2249,Reconstruction with Skin/Mucosal Graft (TMH - Plastic & Reconstructive) (G2S47),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH075,11250.00
2250,Microdochectomy (TMH - Breast) (G2S48),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH076,11250.00
2251,S/C Fossa Gland Dissection (TMH - Breast) (G2S49),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH077,11250.00
2252,Breast Lumpectomy Alone (TMH - Breast) (G2S50),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH078,11250.00
2253,Buccal/Mucosa wide excision Cheek Flap (TMH - Head & Neck) (G3S1),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH079,18000.00
2254,Central Compartment Clearance (TMH - Head & Neck) (G3S2),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH080,18000.00
2255,Ethmoidectomy (TMH - Head & Neck) (G3S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH081,18000.00
2256,Excision of parapharyngeal mass (TMH - Head & Neck) (G3S4),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH082,18000.00
2257,Excision STS Neck / Mass Neck (TMH - Head & Neck) (G3S5),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH083,18000.00
2258,Jaw Tumour Excision (TMH - Head & Neck) (G3S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH084,18000.00
2259,Laser Subglottic Tracheal Stenosis (TMH - Head & Neck) (G3S8),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH085,18000.00
2260,Laser Fulguration - Respiratory Papilloma (TMH - Head & Neck) (G3S9),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH086,18000.00
2261,Neck Dissection-Functional/Modified/Supra omohyoid (TMH - Head & Neck) (G3S10),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH087,18000.00
2262,Orbital mass excision (TMH - Head & Neck) (G3S11),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH088,18000.00
2263,Parathyroid excision (TMH - Head & Neck) (G3S12),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH089,18000.00
2264,Pharyngectomy-Partial (TMH - Head & Neck) (G3S13),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH090,18000.00
2265,Premaxillectomy (TMH - Head & Neck) (G3S14),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH091,18000.00
2266,Scalp tumor+skull bone excision (TMH - Head & Neck) (G3S15),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH092,18000.00
2267,Thyroid-Hemi/Subtotal/Total Thyroidectomy (TMH - Head & Neck) (G3S16),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH093,18000.00
2268,Tongue wide excision per oral with neck dissection (TMH - Head & Neck) (G3S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH094,18000.00
2269,Tracheal wall partial resection (TMH - Head & Neck) (G3S18),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH095,18000.00
2270,Wide excision floor of the mouth/Neck (TMH - Head & Neck) (G3S19),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH096,18000.00
2271,Wide excision -Lip and Neck (TMH - Head & Neck) (G3S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH097,18000.00
2272,Laser exciston-Supraglottic (TMH - Head & Neck) (G3S21),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH098,18000.00
2273,Buccal/Mucosa wide excision - Peroral (TMH - Head & Neck) (G3S22),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH099,18000.00
2274,Enucleation of the Eye (TMH - Head & Neck) (G3S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH100,18000.00
2275,Eye lid (upper/lower) Excision with reconstruction (TMH - Head & Neck) (G3S24),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH101,18000.00
2276,Floor of the Mouth - Wide excision (TMH - Head & Neck) (G3S25),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH102,18000.00
2277,Laser Aretynoidectomy (TMH - Head & Neck) (G3S26),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH103,18000.00
2278,Hemiglossectomy - Peroral (TMH - Head & Neck) (G3S27),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH104,18000.00
2279,Micro laryngoscopy Chord stripping (Laser)/Laser excision Chordectomy (TMH - Head & Neck) (G3S28),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH105,18000.00
2280,Oral cavity excision-Large lesion Laser (TMH - Head & Neck) (G3S29),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH106,18000.00
2281,Abdominal Mass Excision (TMH - G.I. Surgery) (G3S30),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH107,18000.00
2282,Cholecystectomy (TMH - G.I. Surgery) (G3S31),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH108,18000.00
2283,Cholecysto-Jejunostomy (TMH - G.I. Surgery) (G3S32),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH109,18000.00
2284,Choledocho-Duodenostomy (TMH - G.I. Surgery) (G3S33),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH110,18000.00
2285,Colectomy Revision (TMH - G.I. Surgery) (G3S34),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH111,18000.00
2286,Colon (Resection Anastomosis) (TMH - G.I. Surgery) (G3S35),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH112,18000.00
2287,Colon (Left Hemicolectomy/Right Hemicolectomy/Sigmoid Colectomy/Transverse-Colectomy) (TMH - G.I. Surgery) (G3S36),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH113,18000.00
2288,Colonic By-Pass (Multiple/Single) (TMH - G.I. Surgery) (G3S37),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH114,18000.00
2289,Colostomy With Closure (TMH - G.I. Surgery) (G3S38),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH115,18000.00
2290,Duodenotomy (TMH - G.I. Surgery) (G3S39),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH116,18000.00
2291,Gastric Wedge Resection (TMH - G.I. Surgery) (G3S40),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH117,18000.00
2292,Gastro-Jejunostomy (TMH - G.I. Surgery) (G3S41),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH118,18000.00
2293,Hepatic Excision (TMH - G.I. Surgery) (G3S42),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH119,18000.00
2294,Hepatic Port Placement/Port Removal (TMH - G.I. Surgery) (G3S43),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH120,18000.00
2295,Laparoscopy Therapeutic/ Exploratory (TMH - G.I. Surgery) (G3S44),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH121,18000.00
2296,Laparotomy For Staging (TMH - G.I. Surgery) (G3S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH122,18000.00
2297,Pancreas Triple Bypass (TMH - G.I. Surgery) (G3S46),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH123,18000.00
2298,Rectum Local Excision (TMH - G.I. Surgery) (G3S47),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH124,18000.00
2299,Small Bowel By-Pass (Multiple)/(Single) (TMH - G.I. Surgery) (G3S48),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH125,18000.00
2300,Small Bowel Resection Anastomosis (TMH - G.I. Surgery) (G3S49),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH126,18000.00
2301,Splenectomy (TMH - G.I. Surgery) (G3S50),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH127,18000.00
2302,Amputation Above Elbow/Below Elbow (TMH - Bone & Soft Tissue) (G3S51),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH128,18000.00
2303,Amputation Above Knee/Below Knee (TMH - Bone & Soft Tissue) (G3S52),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH129,18000.00
2304,Clavicle Excision (TMH - Bone & Soft Tissue) (G3S53),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH130,18000.00
2305,Extracorporeal Irradiation (TMH - Bone & Soft Tissue) (G3S54),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH131,18000.00
2306,Fibula Lower End Reconstruction (TMH - Bone & Soft Tissue) (G3S55),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH132,18000.00
2307,Fibulectomy (TMH - Bone & Soft Tissue) (G3S56),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH133,18000.00
2308,Groin + Iliac Node Dissection (TMH - Bone & Soft Tissue) (G3S57),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH134,18000.00
2309,Groin Node Dissection (TMH - Bone & Soft Tissue) (G3S58),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH135,18000.00
2310,Knee Arthrodesis (TMH - Bone & Soft Tissue) (G3S59),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH136,18000.00
2311,Muscle Group Excision (TMH - Bone & Soft Tissue) (G3S60),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH137,18000.00
2312,Open Biopsy of Vertebra (TMH - Bone & Soft Tissue) (G3S61),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH138,18000.00
2313,Radius Lower End Excision (TMH - Bone & Soft Tissue) (G3S62),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH139,18000.00
2314,Ray Amputation (TMH - Bone & Soft Tissue) (G3S63),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH140,18000.00
2315,Scapulectomy Partial/Total (TMH - Bone & Soft Tissue) (G3S64),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH141,18000.00
2316,Shoulder Disarticulation (TMH - Bone & Soft Tissue) (G3S65),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH142,18000.00
2317,Soft Tissue Wide Excision (TMH - Bone & Soft Tissue) (G3S66),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH143,18000.00
2318,Soft Tissue Wide Excision + Implant (TMH - Bone & Soft Tissue) (G3S67),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH144,18000.00
2319,Soft Tissue Wide Excision + SSG (TMH - Bone & Soft Tissue) (G3S68),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH145,18000.00
2320,Ulna Lower End Excision (TMH - Bone & Soft Tissue) (G3S69),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH146,18000.00
2321,External Fixation (TMH - Bone & Soft Tissue) (G3S70),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH147,18000.00
2322,Talar/Calcaneal Resection (TMH - Bone & Soft Tissue) (G3S71),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH148,18000.00
2323,Percutaneous Vertebral Biopsy (TMH - Bone & Soft Tissue) (G3S72),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH149,18000.00
2324,Bone Grafting (TMH - Bone & Soft Tissue) (G3S73),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH150,18000.00
2325,Popliteal Clearance of Nodes (TMH - Bone & Soft Tissue) (G3S74),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH151,18000.00
2326,Amputation (Paediatric) (TMH - Thoracic & Paediatric) (G3S75),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH152,18000.00
2327,Anterior Mediastinotomy (TMH - Thoracic & Paediatric) (G3S76),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH153,18000.00
2328,Bronchial Stent Placement (TMH - Thoracic & Paediatric) (G3S77),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH154,18000.00
2329,Bulla Stapling (TMH - Thoracic & Paediatric) (G3S78),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH155,18000.00
2330,Cervical Esophagostomy (TMH - Thoracic & Paediatric) (G3S79),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH156,18000.00
2331,Chest Wall Excision Without Reconstruction (TMH - Thoracic & Paediatric) (G3S80),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH157,18000.00
2332,Esophagoscopic Stent (TMH - Thoracic & Paediatric) (G3S81),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH158,18000.00
2333,Excision/Pericardiac Window Open (TMH - Thoracic & Paediatric) (G3S82),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH159,18000.00
2334,Gastric By-Pass (TMH - Thoracic & Paediatric) (G3S83),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH160,18000.00
2335,Lung Wedge Resection (TMH - Thoracic & Paediatric) (G3S84),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH161,18000.00
2336,Mediastinal Lymph Node Dissection (TMH - Thoracic & Paediatric) (G3S85),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH162,18000.00
2337,Mediastinoscopy (TMH - Thoracic & Paediatric) (G3S86),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH163,18000.00
2338,Metastatectomy (Single Lung) (TMH - Thoracic & Paediatric) (G3S87),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH164,18000.00
2339,Palliative Bowel Bypass (TMH - Thoracic & Paediatric) (G3S88),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH165,18000.00
2340,Pericardiectomy (TMH - Thoracic & Paediatric) (G3S89),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH166,18000.00
2341,Retinoblastoma Excision (Paediatric) (TMH - Thoracic & Paediatric) (G3S90),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH167,18000.00
2342,Retroperitoneal Lymph Node Biopsy (Exploration) (TMH - Thoracic & Paediatric) (G3S91),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH168,18000.00
2343,STS Excision (Paediatric) (TMH - Thoracic & Paediatric) (G3S92),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH169,18000.00
2344,Thoracoscopy-Therapeutic (TMH - Thoracic & Paediatric) (G3S93),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH170,18000.00
2345,Thorax Re-Exploration (TMH - Thoracic & Paediatric) (G3S94),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH171,18000.00
2346,Jejunostomy/Gastrostomy (TMH - Thoracic & Paediatric) (G3S95),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH172,18000.00
2347,Rib Excision Only (TMH - Thoracic & Paediatric) (G3S96),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH173,18000.00
2348,Burst Abdomen Suturing (TMH - Thoracic & Paediatric) (G3S97),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH174,18000.00
2349,Exploration Emergency (TMH - Genitourinary / Gynaecology) (G3S98),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH175,18000.00
2350,Groin Node Dissection (Unilateral) (TMH - Genitourinary / Gynaecology) (G3S99),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH176,18000.00
2351,Excision of Ovarian Mass/Cyst (TMH - Genitourinary / Gynaecology) (G3S100),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH177,18000.00
